Num,Language
,12609
Afrikaans,2
Akan,2
Albanian,7
Arabic,33
Bengali,88
Berber,1
Bulgarian,1
Burmese,8
Cebuano,2
Chinese,66
Creole,32
Dutch-Flemish,2
Dzongkha,1
Edo,1
English,1341
Ewe,1
Fang-Bulu,1
Farsi,2
French,14
Fula,3
Greek,5
Guarani,1
Gujarati,3
Hebrew,1
Hindi,4
Hungarian,1
Igbo,4
Indonesian,1
Italian,1
Japanese,5
Kazakh,2
Korean,21
Latin,3
Latvian,1
Malayalam,2
Malinke-Bambara-Dyula,3
Marathi,1
Nepali,32
Pashtu,3
Persian,2
Pilipino,5
Polish,12
Portuguese,11
Punjabi,12
Romanian,2
Russian,18
Serbo-Croatian,6
Spanish,450
Tagalog,24
Tajiki,1
Telugu,1
Thai,5
Tibetan,28
Turkish,2
Twi-Fante,3
Ukrainian,4
Urdu,7
Uzbek,3
Vietnamese,1
Wolof,1
Yoruba,3
Zulu,1
