Language-Inhouse,Countofcuny_First_Emplid
,12947
Afrikaans,5
Akan,2
Albanian,25
Amharic,1
Arabic,91
Armenian,4
Bengali,191
Berber,2
Bulgarian,4
Burmese,26
Cambodian,1
Cebuano,4
Chiga,2
Chinese,211
Creole,60
Czech,1
Dutch-Flemish,2
Dzongkha,6
Edo,4
Efik,1
English,3002
Fang-Bulu,1
Farsi,4
Finnish,1
Fon,2
French,32
Fula,6
Fulakunda,1
Futa Jalon,2
Georgian,5
German,1
Greek,23
Guarani,1
Gujarati,8
Hausa,1
Hebrew,4
Hindi,15
Hungarian,5
Ibibio,1
Igbo,5
Ilocano,1
Indonesian,5
Italian,5
Japanese,13
Javanese,2
Kazakh,1
Khmer,1
Korean,49
Latin,4
Lithuanian,2
Macedonian,1
Malay,1
Malayalam,2
Malinke-Bambara-Dyula,2
Mandarin,3
More,2
Nepali,146
Pampangan,1
Pashtu,2
Persian,4
Pilipino,14
Polish,42
Portuguese,31
Punjabi,23
Pushto,2
Romanian,10
Russian,39
Serbo-Croatian,10
Shona,1
Sinhalese,1
Slovak,1
Slovene,1
Spanish,1169
Swahili,1
Sylhetti,1
Tagalog,75
Tajiki,2
Thai,8
Tibetan,58
Turkish,11
Turkmen,1
Twi-Fante,6
Ukrainian,12
Urdu,32
Uzbek,7
Vietnamese,6
Wolof,6
Wu,1
Yoruba,5
